Nation,Population (inhab/km2),Agri val (% GDP),Precipitation (10^9 m3/yr),Dependency (%),Tot renew-water (m3/inhab/yr),Water pres (%),Tot agri water use (%),Water use (m3/yr/person),Irrig area (1000 ha),Irrig/cultivated area (%)
CHE,188.45,0.81,63.46,24.49,6894.75,4.23,4.99,298.8,58,13.52
CHL,22.265,4.08,1151,4.12,54993.25,3.83,83.04,2152,1109,64.51
CHN,142.125,10.57,6192,0.96,2083,20.38,65.14,425.45,64216.25,52.055
CMR,42.52,23.04,762.6,3.58,14227.25,0.34,76.26,57.6,25.65,0.36
COL,39.645,7.55,3699,9.11,52306.25,0.41,58.91,218.7,1087,31.48
CPV,121.475,8.76,0.92,0,614.35,6.77,90.91,48.31,3.48,6.82
CRI,87.545,7.175,149.5,0,25364.5,2.08,56.6,488.8,101.5,18.59
CUB,102.85,5.725,146.7,0,3373.5,15.605,57.545,524.25,557.6,15.68
CYP,117.2,2.6,4.61,0,722.55,24.26,68.73,216,55.46,38.17
CZE,132,2.495,53.39,0,1263.25,14.01,1.88,177.075,35.84,1.105
DEU,226.575,0.775,250.025,30.52,1903.25,22.295,1.15,424.925,569.675,4.735
DMA,94.995,13.465,1.56,0,2808,9.15,5,257.575,0.2,0.87
DNK,128.55,1.62,30.225,0,1086,10.345,23.905,115.4,450.425,19.06
DOM,200.45,6.785,68.62,0,2420,26.16,82.02,633.925,306.5,26.54
DZA,15.045,9.975,212,3.6,327.825,57.905,60.21,201.95,899.7,10.765
ECU,57.375,10.17,583,0,30270.5,2.18,83.81,707.45,1176.7,46.045
EGY,81.305,13.215,51.07,96.91,722.775,112.21,86.14,936.9,3516,98.805
ESP,88.885,2.875,321.6,0.27,2485.5,32.285,66.415,812.025,3849,21.89
EST,29.645,3.79,28.31,0.75,9556,12.88,0.775,1232.25,0.91,0.145
ETH,77.62,44.015,936.4,0,1447.75,7.075,91.58,97.085,473.525,3.045
FIN,15.83,2.8,181.35,2.73,20553.25,5.96,1.46,1241,83.89,3.75
FJI,46.755,13.13,47.36,0,33466.5,0.29,60.05,100.95,4,1.59
FRA,113.85,1.9,476.1,5.21,3378.5,14.575,11.645,499.225,2724.5,14.06
GBR,255.275,0.715,297.2,1.36,2366.5,6.85,12.36,166.05,114.48,1.87
GEO,61.535,12.27,71.51,8.21,14812.5,2.87,58.19,426.9,432.8,75.01
GHA,99.845,28.41,283.1,46.09,2396.25,1.75,66.4,49.63,30.9,0.49
GIN,44.245,22.365,405.9,0,21103.5,0.24,52.94,60.71,94.92,3.12
